"","postcode","n"
"1","2770",122
"2","2170",110
"3","2148",74
"4","2650",74
"5","4680",57
"6","2905",56
"7","2261",55
"8","2615",53
"9","2145",51
"10","2166",51
"11","2620",50
"12","2259",48
"13","4503",48
"14","2340",47
"15","2560",46
"16","2000",45
"17","4207",44
"18","2010",43
"19","2168",43
"20","2320",43
"21","2017",42
"22","4209",42
"23","4870",42
"24","2500",41
"25","2016",40
"26","2250",40
"27","4215",40
"28","2760",37
"29","2800",37
"30","2767",36
"31","3030",36
"32","4301",36
"33","4740",36
"34","2142",35
"35","6725",35
"36","7250",35
"37","2611",34
"38","2747",34
"39","2750",34
"40","4305",34
"41","4551",34
"42","2150",33
"43","2200",33
"44","2287",33
"45","2830",33
"46","2913",33
"47","4211",33
"48","6230",33
"49","2042",32
"50","2165",32
"51","2795",32
"52","4350",32
"53","2035",31
"54","2204",31
"55","2323",31
"56","2530",31
"57","2617",31
"58","0830",29
"59","2480",29
"60","2602",29
"61","4509",29
"62","6107",29
"63","7310",29
"64","0810",28
"65","2160",28
"66","2176",27
"67","2606",27
"68","4034",27
"69","4053",27
"70","2026",26
"71","2161",26
"72","2230",26
"73","2285",26
"74","2763",26
"75","4114",26
"76","2141",25
"77","2144",25
"78","2761",25
"79","4510",25
"80","4720",25
"81","2232",24
"82","2914",24
"83","4214",24
"84","2031",23
"85","2037",23
"86","2077",23
"87","2325",23
"88","2612",23
"89","4869",23
"90","2007",22
"91","2011",22
"92","2066",22
"93","2171",22
"94","2290",22
"95","2324",22
"96","2333",22
"97","2580",22
"98","4006",22
"99","4817",22
"100","2034",21
"101","2122",21
"102","2147",21
"103","2528",21
"104","2529",21
"105","3810",21
"106","7030",21
"107","2099",20
"108","2137",20
"109","2153",20
"110","2213",20
"111","2262",20
"112","4127",20
"113","6155",20
"114","0812",19
"115","2155",19
"116","2190",19
"117","2196",19
"118","2220",19
"119","2565",19
"120","2902",19
"121","3805",19
"122","4017",19
"123","6061",19
"124","2036",18
"125","2040",18
"126","2229",18
"127","2257",18
"128","2567",18
"129","4122",18
"130","4208",18
"131","4210",18
"132","4221",18
"133","4868",18
"134","2193",17
"135","2194",17
"136","2450",17
"137","4220",17
"138","4504",17
"139","4814",17
"140","2020",16
"141","2033",16
"142","2114",16
"143","2134",16
"144","2135",16
"145","2138",16
"146","2164",16
"147","2256",16
"148","2263",16
"149","2283",16
"150","2304",16
"151","2326",16
"152","2460",16
"153","2605",16
"154","2607",16
"155","4226",16
"156","7010",16
"157","7018",16
"158","0870",15
"159","2050",15
"160","2065",15
"161","2067",15
"162","2088",15
"163","2154",15
"164","2192",15
"165","2223",15
"166","2327",15
"167","2486",15
"168","2614",15
"169","2768",15
"170","4030",15
"171","4506",15
"172","4508",15
"173","4701",15
"174","6051",15
"175","7000",15
"176","0832",14
"177","2008",14
"178","2009",14
"179","2015",14
"180","2022",14
"181","2049",14
"182","2060",14
"183","2127",14
"184","2162",14
"185","2217",14
"186","2233",14
"187","2350",14
"188","2444",14
"189","2526",14
"190","4217",14
"191","4218",14
"192","4300",14
"193","4500",14
"194","4810",14
"195","4815",14
"196","7249",14
"197","2018",13
"198","2024",13
"199","2089",13
"200","2112",13
"201","2113",13
"202","2131",13
"203","2203",13
"204","2299",13
"205","2322",13
"206","2564",13
"207","2566",13
"208","2601",13
"209","2906",13
"210","3182",13
"211","4103",13
"212","4170",13
"213","4212",13
"214","4216",13
"215","6054",13
"216","6530",13
"217","0820",12
"218","2021",12
"219","2023",12
"220","2032",12
"221","2118",12
"222","2120",12
"223","2163",12
"224","2207",12
"225","2210",12
"226","2216",12
"227","2218",12
"228","2234",12
"229","2330",12
"230","2470",12
"231","2478",12
"232","2541",12
"233","2619",12
"234","2640",12
"235","3029",12
"236","3429",12
"237","3977",12
"238","4012",12
"239","4031",12
"240","4064",12
"241","4101",12
"242","4655",12
"243","6163",12
"244","7248",12
"245","2038",11
"246","2069",11
"247","2125",11
"248","2140",11
"249","2151",11
"250","2195",11
"251","2205",11
"252","2212",11
"253","2228",11
"254","2260",11
"255","2318",11
