"","postcode","n","service_n","score"
"1","2770",122,8,87.8
"2","2170",110,1,77.3
"3","2650",74,10,54.8
"4","2148",74,3,52.7
"5","2261",55,1,38.8
"6","2166",51,2,36.3
"7","2620",50,2,35.6
"8","2259",48,2,34.2
"9","2168",43,13,34
"10","2560",46,6,34
"11","4503",48,1,33.9
"12","2010",43,10,33.1
"13","2000",45,3,32.4
"14","4870",42,6,31.2
"15","2017",42,2,30
"16","2500",41,3,29.6
"17","4215",40,5,29.5
"18","2830",33,19,28.8
"19","2016",40,1,28.3
"20","2250",40,1,28.3
"21","2800",37,5,27.4
"22","2747",34,9,26.5
"23","7250",35,4,25.7
"24","4301",36,1,25.5
"25","2200",33,7,25.2
"26","4305",34,3,24.7
"27","2150",33,4,24.3
"28","4551",34,1,24.1
"29","7310",29,12,23.9
"30","4211",33,1,23.4
"31","6230",33,1,23.4
"32","2165",32,2,23
"33","4350",32,2,23
"34","2204",31,2,22.3
"35","2530",31,1,22
"36","2480",29,3,21.2
"37","0830",29,2,20.9
"38","4509",29,1,20.6
"39","0810",28,2,20.2
"40","2160",28,2,20.2
"41","4114",26,2,18.8
"42","2077",23,6,17.9
"43","4869",23,1,16.4
"44","2580",22,3,16.3
"45","2011",22,2,16
"46","2171",22,1,15.7
"47","2290",22,1,15.7
"48","4817",22,1,15.7
"49","2529",21,3,15.6
"50","2122",21,1,15
"51","3810",21,1,15
"52","2137",20,1,14.3
"53","7018",16,10,14.2
"54","2196",19,2,13.9
"55","2565",19,1,13.6
"56","3805",19,1,13.6
"57","2194",17,5,13.4
"58","4221",18,2,13.2
"59","4868",18,1,12.9
"60","2450",17,2,12.5
"61","0870",15,6,12.3
"62","2263",16,1,11.5
"63","2283",16,1,11.5
"64","2154",15,3,11.4
"65","4508",15,2,11.1
"66","7000",15,2,11.1
"67","2541",12,9,11.1
"68","2131",13,6,10.9
"69","6530",13,6,10.9
"70","2050",15,1,10.8
"71","2067",15,1,10.8
"72","2327",15,1,10.8
"73","2444",14,3,10.7
"74","2203",13,1,9.4
"75","2322",13,1,9.4
"76","2906",13,1,9.4
"77","3175",9,9,9
"78","3977",12,2,9
"79","2330",12,1,8.7
"80","4655",12,1,8.7
"81","2430",11,3,8.6
"82","2502",10,4,8.2
"83","6167",11,1,8
"84","6210",11,1,8
"85","4120",10,3,7.9
"86","2300",9,5,7.8
"87","2880",8,7,7.7
"88","2452",9,4,7.5
"89","7011",8,6,7.4
"90","2440",9,3,7.2
"91","7320",8,5,7.1
"92","6109",9,2,6.9
"93","4077",8,4,6.8
"94","2518",9,1,6.6
"95","2756",9,1,6.6
"96","4501",9,1,6.6
"97","2100",8,3,6.5
"98","0850",6,6,6
"99","4558",8,1,5.9
"100","0831",3,12,5.7
"101","7019",7,2,5.5
"102","2559",7,1,5.2
"103","3000",7,1,5.2
"104","3199",7,1,5.2
"105","4051",7,1,5.2
"106","4306",7,1,5.2
"107","6021",5,4,4.7
"108","6004",4,6,4.6
"109","2820",6,1,4.5
"110","3051",6,1,4.5
"111","2019",5,2,4.1
"112","2047",5,2,4.1
"113","6101",5,2,4.1
"114","2173",5,1,3.8
"115","2295",5,1,3.8
"116","2630",5,1,3.8
"117","3065",5,1,3.8
"118","3134",5,1,3.8
"119","3155",5,1,3.8
"120","5700",5,1,3.8
"121","6104",5,1,3.8
"122","5600",2,6,3.2
"123","3140",4,1,3.1
"124","5112",4,1,3.1
"125","2550",3,3,3
"126","3177",3,2,2.7
"127","4812",3,2,2.7
"128","2540",2,4,2.6
"129","2570",3,1,2.4
"130","3172",3,1,2.4
"131","3174",3,1,2.4
"132","3820",3,1,2.4
"133","4883",3,1,2.4
"134","5042",3,1,2.4
"135","6169",3,1,2.4
"136","6714",3,1,2.4
"137","5007",2,3,2.3
"138","2700",2,2,2
"139","2834",2,2,2
"140","3081",2,2,2
"141","4285",2,2,2
"142","2265",2,1,1.7
"143","2319",2,1,1.7
"144","2825",2,1,1.7
"145","5000",2,1,1.7
"146","0828",1,2,1.3
"147","2357",1,2,1.3
"148","2587",1,2,1.3
"149","2710",1,2,1.3
"150","2755",1,2,1.3
"151","3850",1,2,1.3
"152","3909",1,2,1.3
"153","5333",1,2,1.3
"154","6701",1,2,1.3
"155","2536",1,1,1
"156","2824",1,1,1
"157","2839",1,1,1
"158","3919",1,1,1
"159","3995",1,1,1
"160","4560",1,1,1
"161","5165",1,1,1
"162","5251",1,1,1
"163","5290",1,1,1
"164","6010",1,1,1
"165","6084",1,1,1
