Postcode,Count of Primary/Satellite
2830,19
2168,13
0831,12
7310,12
2010,10
2650,10
7018,10
2541,9
2747,9
3175,9
2770,8
2200,7
2880,7
0850,6
0870,6
2077,6
2131,6
2560,6
4870,6
5600,6
6004,6
6530,6
6722,6
7011,6
2194,5
2300,5
2800,5
4215,5
7320,5
2150,4
2452,4
2502,4
2540,4
2641,4
4077,4
6021,4
6642,4
7250,4
2000,3
2100,3
2148,3
2154,3
2430,3
2440,3
2444,3
2480,3
2500,3
2529,3
2550,3
2580,3
2829,3
2832,3
3875,3
4120,3
4305,3
4892,3
5007,3
5343,3
6003,3
0810,2
0828,2
0830,2
2011,2
2017,2
2019,2
2047,2
2160,2
2165,2
2166,2
2196,2
2204,2
2259,2
2357,2
2450,2
2539,2
2577,2
2587,2
2620,2
2700,2
2710,2
2755,2
2834,2
3081,2
3177,2
3844,2
3850,2
3909,2
3977,2
4114,2
4221,2
4285,2
4350,2
4508,2
4812,2
5168,2
5211,2
5333,2
6101,2
6109,2
6701,2
7000,2
7019,2
2016,1
2050,1
2067,1
2122,1
2137,1
2170,1
2171,1
2173,1
2203,1
2250,1
2261,1
2263,1
2265,1
2283,1
2290,1
2295,1
2314,1
2319,1
2322,1
2327,1
2330,1
2518,1
2530,1
2536,1
2537,1
2559,1
2565,1
2570,1
2630,1
2756,1
2820,1
2824,1
2825,1
2839,1
2906,1
3000,1
3027,1
3036,1
3051,1
3065,1
3093,1
3134,1
3140,1
3155,1
3172,1
3174,1
3199,1
3632,1
3662,1
3805,1
3810,1
3820,1
3852,1
3915,1
3919,1
3995,1
4004,1
4051,1
4211,1
4301,1
4306,1
4501,1
4503,1
4509,1
4551,1
4558,1
4560,1
4650,1
4655,1
4817,1
4868,1
4869,1
4871,1
4883,1
5000,1
5042,1
5112,1
5165,1
5251,1
5290,1
5700,1
6010,1
6084,1
6104,1
6167,1
6169,1
6210,1
6230,1
6714,1
7002,1
7330,1
7467,1
